author,published,site_url,label,title_without_stopwords,text_without_stopwords
Daniel Greenfield,2016-11-01T23:56:37.271+02:00,frontpagemag.com,Real,Hillary planning fireworks victory celebration.,Lloyd billingsley presidential debates Donald Trump Hillary Clinton third participant vladimir Putin standing background stealthily inserting process putins Russia uses deniable cyberhooliganism actively prank American political system taking toll Putin playbook steal cheat attack disrupt mislead confuse caught lie deny gets unfortunately Republican presidential nominee reinforces narrative referring rigged system indictable opponent outbursts years domestic political discord comity history crazy seems sitting president heckled lie reads Clinton press release putins powerful playbook hack steal disrupt mislead confuse sacramento bee days comey bombshell author markos kounalakis billed senior fellow central european university visiting fellow hoover institution doesnt capture connections clintons wikileaks kounalakis author line fails reveal married eleni daughter realestate tycoon angelo tsakopoulos greek USA reporter angelo political donor clintons well Democratic party donations former president bill Clinton rewarded prestigious lincoln bedroom tsakopoulos Hillary Clinton seek Democratic nomination presidential election angelos daughter eleni prote nancy pelosi barbara boxer raised million Hillary Clinton money reward secretary state Hillary Clinton swore ambassador hungary capacity condemned wikileaks releasing secret diplomatic cables declined authenticity material served ambassador wikileaks confirms key Clinton supporter beat presidential joe biden eleni tsakopoulos kounalakis tells john podesta bay area bagman swears biden running air force hes getting emails emailed Clinton confidant jake sullivan hrc indicated avoid grexit sullivan john podesta huma abedin supports allow greece stay eurozone tsakopoulos kounalakis emailed podesta greek American fest going joe biden boyclub emailed podesta huma abedin david brock dinner annie karni politico quotes attached attribution second emails john podesta humba abedin reveal ambassador eleni kounalakis styles remains Hillary clintons inner circle tellingly mcclatchytribune newspapers husbands columns acknowledge Clinton connection york times proclaimed kounalakis white knight rescuing Washington monthly served publisher teamed editor paul glastris tandem publication progressive mustread Clinton strategist james carville kounalakis newsweek east germany bureau prague also moscow nbc radio mutual kounalakis books tattered flag voices postbush era peter laufer spin power strategic corporate journalism drew banks kim daus remains mystery leftist kounalakis visiting fellow hoover institution conservative writers scholars thomas sowell victor davis hanson bruce thornton writer recalls kounalakis acknowledged wifes Clinton connections wikileaks revelations presidential election days away kounalakis acknowledge wifes key role hrcs inner circle john podesta huma abedin sacramento bee suggests markos circles kounalakis attacks Republican presidential nominee implying crazy tool evil Putin hand Clinton scandal gets zero attention author piles copy American society great strides lgbtq womens minority relatively resilient globally innovative economy author gives readers cause regard pure Clinton campaign propaganda camouflaged Clinton crony markos join wife huma abedin john podesta wikileaks revelations observers issue leaks whether revelations authentic markos kounalakis believes bogus whats ones.
Daniel Greenfield,2016-11-01T23:56:39.211+02:00,frontpagemag.com,Real,Obamas secret Muslim list.,Obamas ransom payment Iran tip iceberg bid pursue legacy Obama charts disastrous course reckless abandon ari lieberman Democratic lawmakers cringed Obama inked Iran familiar malevolent nature Iranian regime recoiled horror learned Obama transferred million iranians exchange American citizens held captive mullahs trumped charges million larger installment totaling billion ostensibly settle claims Iran United States stemming aborted Iranian arms purchases dating shah Obama claimed money owed Iran settlement billion interest taxpayer billions iranians demanding hague tribunal claim adjudicated timing method cash transfers disquieting least raised questions legality well broader geopolitical concerns Americans freed Iran million payment airlifted dead unmarked cargo plane untraceable cash stacked wooden pallets iranians demanded swiss francs euros dollars pliant Obama agreed islamic republics dictates gleeful Iranian leaders announce victory claimed payment ransom contradicting administrations adamant denials administration confusion whether payment fact ransom state department mark toner close acknowledging fact noted million leverage ensure Americans return White House quickly repudiated state departments characterization believe peddled administration mere appearance quid pro quo payment potentially exposes extortion hostagetaking iranians believed ransom payment twobit dictator well deeper troubling aspects convoluted address American Obama positive spin dealings islamic republic noted rick richman excellent featured mosaic struck iranians rotten core administration deliberately American aspects shady arrangement million transferred Iran irans foreign military sales fms account pentagon balance billion ostensibly represented interest accrued since Obama neglected note Iran filed lawsuit filed counterclaim Iran million Iranian breaches obligations fms program conceivably counterclaim meant wooden pallets cash American treasury courtesy islamic republic American plaintiffs maintained sixteen court judgments islamic republic stemming regimes involvement terrorist activities judgments totaled billion compensatory punitive damages plaintiffs sought recover judgments directly irans fms account efforts stymied Clinton administration convoluted struck Congress Clinton administration treasury holders judgments Iran compensatory damages percent punitive damages fms fund judgments subrogated United States meant judgments direct claims Iranian government Iran ignored judgments never plaintiffs law million sitting fms account gone treasury judgment holders treasury never collected dime subrogated claims since Obama shipped money wooden pallets Iran essentially taxpayer ended footing bill irans terrorism iranians never held accountable maleficence obamas actions represented blatant disregard law victims terrorism American taxpayer claim saving taxpayer billions represents zenith mendacity Obama claimed payments cash existing sanctions prohibited banking procedures noted richman sanctions regimen expressly permits payments settle Iranian claims instituted hague exposing lie Obama administration reason iranians requested cash disingenuous reason iranians worlds foremost statesponsors international terrorism finance terrorist groups proxy militias region internationally illicit means circumvent methods financing demanded untraceable cash misery witnessing syria yemen elsewhere Obama administration iranians cash operations flowing addition billion cash Obama also authorized release convicted Iranian felons expunged warrants others aspect transaction seems trivial considering sheer mendacity illegality aspect lastly transfer sum Iran settlement alleged legal claim attorney generals approval administration produce document bearing loretta lynchs signature authorizing payment sen marco rubio fla rep mike pompeo kan presented lynch series questions seeking clarification aspects lynch tenure attorney general proving corrupt partisan predecessor inexplicably refused answer lawmakers queries desperate attempt establish legacy Obama pursued Iran reckless abandon forfeiting positions previously regarded red lines signing diplomatic history ancillary struck iranians American hostages laced outright lies enabled iranians reign regional terror importantly also violation existing law lynchs stonewalling lends credence notion.
Daniel Greenfield,2016-11-01T23:56:39.599+02:00,frontpagemag.com,Real,James comey change outcome election.,Netanyahus critical foreign tour israels strategic repositioning originally published jerusalem prime minister benjamin netanyahus upcoming trips australia singapore kazakhstan azerbaijan diplomatic visits makes tenure office trips backdrop international shifts cast Israel uncharted waters state dizzying array strategic threats arrayed states visit wellpositioned Israel navigate moves shift uss political crackup American voters president candidates Democratic nominee Hillary Clinton Republican nominee Donald Trump weakest candidates ever highest office land rise testament weakening unraveling glue held America together since civil war unraveling electorate comes backdrop diminution military power uss multitrillion dollar investment inconclusive failed wars east years expense military modernization program sucked majority remaining research development funds produce reliable airplane problematic gestation period Russia China opportunity air defense systems capable neutralizing stealth systems systems supposed chief advantage generation fighter allies deterioration uss military capabilities gone hand hand uss apparent loss strategic rationality apparent worldwide nowhere east president barack obamas decision effectively abandon uss allies east favor cultivating ties Iran region spurned allies years theory obamas decision prefer shiites sunnis makes sense totalitarian imperial nature sunni jihadism genocidal totalitarian imperial nature current Iranian regime sense impact massively destructive obamas willingness rack uss national debt unprecedented manner repress economic growth overregulation question mark possibility military buildup words circumstances imagine capable reestablishing global primacy years decade implications Israel reaching decades israels strategic posture predicated ability depend power strategic posture longer tenable second international shift russias sudden rise primary global power east channel Russia deployed sophisticated naval air systems region detect israels air naval operations matter months Israel air naval supremacy enjoyed decades air force reportedly convinced stealth systems able neutralize russias detection capabilities welldocumented current problems stealth systems conviction unwise circumstances Israel opportunity electronic warfare systems apply American interference Israel years surmount challenge rapidly improving Russian systems present air force channel air force naval commanders panic sudden events panicking though Israel needs roll punches figure cope situation answer quickly expand capabilities areas russias military primacy Israel needs expand massively capacity undertheradar operations area needs massively strengthened intelligence capabilities human intelligence capabilities Israel investing massively developing expanding cultivation direction proxies ground region second Israel needs adapt cyber technology capabilities manner diminishes enemies ability strike Israel needs able disrupt disable command control systems israels needs extend line enemies military chain command offensive capabilities checked capabilities enemies enemies subverted intelligence cyber capabilities Israel deploy geared destabilizing goal overthrowing regime Iran Israel empowering antiregime sectors Iran manner expands prospect developing close ties successor regime lines strategic alliance Israel regime shah decades preceded islamic revolution third Israel needs expand diversify capabilities ground forces Israel needs capable using means deploy fighters distant shores needs align regular forces threat environment needs able utilize ground forces manners extend diminish compromised positions air naval assets era Russian regional primacy fourth Israel needs expand economic growth diversify economic ties manner positions regional economic power needs natural gas resources means expand deepen ties asia economic growth power positively influence russias willingness allow Israel air naval operations enemies russias allies lebanon syria words economically powerful Israel Russia willing Israel hezbollah others operating Russian umbrella brings netanyahus upcoming trips state visit Israel expanding intelligence cyberwarfare economic capabilities australia western economy moving China America less engaged pacific Israel acute interest using australia platform expanding ties China asian countries economic advantages ties convey chinas strategic importance Russia singapore Israel effectively singaporean military country remains extremely supportive Israel australia singapore close ties China technological capabilities extremely advantageous Israel azerbaijan kazakhstan critically Israel strategic proximity Iran ties Russia ethnic composition natural resources securing relations critical israels ability advance security strategic interests sphere Israel tremendous assets countries netanyahu visit assets deployed wisely ensure Israel gains trip future ties dramatic changes global power balance implications Israel netanyahus decision fly visit countries elections tells gets regional global turbulence uncertainty context swiftly multiplying threats matter.
Daniel Greenfield,2016-11-02T06:45:41.336+02:00,frontpagemag.com,Real,Hillarymediamolecon.,Hostility hypocrisy leftwing Israeli ngos condemnations pas efforts prevent normalization Israel originally investigative project terrorism Israeli human btselem session united nations security council excoriating Israel pleading body act israels settlements famously declared zionism racism decades organization continues hound Israel years syrian bloodbath claimed hundreds thousands least times resolutions condemning Israel rebuking rest world uns cultural body unesco passed motion ignoring jewish Christian historical ties east jerusalem holy sites referring temple mount western wall Muslim names condemning Israel occupying power turns israels leftwing ngos produce unesco motion uns chronic hostility efforts Israeli ngos persuade act Israel arguably treasonous attorney activist israels leftleaning labor party filed police complaint alleging treason btselem arguing ngo harmed state sovereignty land away foreign entity steps cause war Israeli democracy extremely tolerant point allowing members parliament openly terrorism terrorist groups Israeli arab knesset members condemned arab states labeling hizballah terrorist organization though war Israel decades regularly threatens hostilities members joint arab list solidarity visit relatives palestinian terrorists Israeli security forces murdering israelis hanin zoabi balad drew praise hamas asserted kidnappers missing Israeli youths terrorists hamass connection mens abduction murder spark third war Israel hamas gaza Israel plenty dissenting voices activists foreign intervention foreign interests identified Israeli ngos soft underbelly Israeli democracy leveraged agendas problem acute watchdog ngo monitor formed track selfhostility funded largely european foreign.
Bruce Thornton,2016-11-02T06:45:42.060+02:00,frontpagemag.com,Real,Obamas ransom payment Iran tip iceberg.,Cant Hillary Clinton telling stupid lies biggest mystery Hillary Clinton isnt scandals lies usual lies lies corruption greed pretense agrees whomever shes talking stupid lies ridiculous lies lies crazy stupid lie seconds exposed hillarys book mentions wasnt york city public figure lie never hold isnt Hillary Clinton caught senselessly telling stupid lies famous airport fire incident chelsea jogging negotiating peace northern ireland politicians often lie Hillary Clinton unique telling senseless lies rational purpose caught.
Lloyd Billingsley,2016-11-02T06:45:42.828+02:00,frontpagemag.com,Real,Netanyahus critical foreign tour.,Black voters turning Hillary black voters Hillary beat bernie theyre turning voting millennials nights polls black vot ers accounted percent inperson vote ballots cast days inperson voting days inperson voting blacks cast percent ballots dan smith university florida political science professor published voting data mustread election smith africanamerican turnout inperson voting democrats began outpacing republicans total ballots cast election though republicans cling million absentee inperson ballots cast percent republicans percent democrats Hillary getting latino largely immigration debate doesnt sauce draw husband Obama leaves dependent white voters forces zigzag moderate extreme positions adds reputation untrustworthiness.
Ari Lieberman,2016-11-02T06:45:43.046+02:00,frontpagemag.com,Real,Hostility hypocrisy leftwing Israeli ngos.,FBI investigates saudi wifeabusing Clinton foundation donor straw donor scheme daniel greenfield midnight America clintons Democratic party finding ways cover glory line FBI acting inappropriately investigating investigating political corrupt ion interferes corrupt politicians elected FBI investigating alleged illegal donation scheme involving wealthy saudi supports Democratic florida Senate candidate patrick murphy murphy covered glory often denying everything mean everything murphy campaign declined whether candidate aware FBI probe whats decline answer question murphy running rubio incumbent Republican race party controls Senate rubio leads murphy average percentage points realclearpolitics FBI investigation relates murphys house campaign cycle allegation originally submitted Republican super pac former aide Senate majority leader mitch mcconnell rky murphys school political donor ibrahim alrashid coordinated straw donor scheme boost murphy murphy knows nothing murphys campaign declined whether murphys attorneys discussed FBI investigation alrashids attorney uhhuh alrashid son powerful politically connected saudi billionaire hes financial benefactor murphys giving campaigns groups supporting florida congressman heres donations example alleged scheme describes federal donation reports owner property manager texasbased company limestone property management murphys campaign property manager owner texasbased company fact doesnt miami ibrahim alrashids cleaning lady miamidade police department filed burglary alrashids property texas property manager saudis cleaning lady thats difference murphy forced return alrashids donations purely islamophobic reasons alrashids sons fathers political footsteps contributing sums democrats rep patrick murphy fla Senate race party controls Senate murphy returned portion alrashids donations involvement domestic assault incident ibrahim alrashid allegedly forced estranged wifes pennsylvania alrashid allegedly grabbed wrist struck head face fist threw ground copy police viewed beacon following incident alrashid allegedly wife text message stating sorry die hell police murphy longtime alrashid forced donate campaign funds domestic violence groups assault charge public liability campaign murphy also returned donations alrashid political cycles Clinton foundation involved clintons business golden marble toilets nasser alrashid saudi arabias wealthiest figures adviser countrys royal donated million million Clinton foundation putting elite category prominent donors clintons theres dirt anywhere youll.
Caroline Glick,2016-11-02T06:45:43.651+02:00,frontpagemag.com,Real,Cant Hillary Clinton telling stupid lies.,Obama attacks FBI chief investigating Hillary daniel greenfield richard nixon wants job hasnt president party blatantly corrupt ever theres question Obama history history initially White House join hillarys war FBI Obama threw caution winds echo spin chambers lines innuendo incomplete never mind obamas doj blocking FBI efforts secure emails resolve issue America White House actively seeks obstruct intimidate FBI investigation cheers brand corrupt thuggery.
Noah Beck,2016-11-02T06:45:44.129+02:00,frontpagemag.com,Real,Black voters turning Hillary.,College forces mandatory microaggression sessions faculty prof accuses student plagiarism college politically joke suffolk universitys interim president college hold mandatory microaggression training faculty response outcry latina student viral saying victim professors racial bias racial bias involve tiffany martinezsaid unidentified suffolk sociology professor handed paper class martinez language insinuating martinez plagiarized martinez posted.
Daniel Greenfield,2016-11-02T13:25:57.336+02:00,frontpagemag.com,Real,FBI investigates saudi wifeabusing Clinton foundation donor straw donor scheme.,Majority Americans FBI Hillary daniel greenfield fit thundering insanity Hillary Clinton pals barack Obama war FBI pretext Hillary Clinton supposed immunity FBI election comey irresponsible violating protocol hatch act thou shalt impede electoral prospects democrats mandate Americans sense bunch rubbish Hillary Clinton president Obama outraged fbidirector james comeys decision disclose inquiries handling confidential American shockingly American outraged FBI investigating corrupt criminal corrupt criminal political allies online consult poll registered voters percent agreed prosecutors wait election announcements investigations political figures elected percent agreed prosecutors able announcements investigations political figures elected close election affect election percent dont thats shocking times American step leftwing masters investigation mrs Clinton mentioned question partisans differed percentage points attitude preelection disclosures endorsed percent republicans percent democrats larger gap observed generic prompt contrast mentioning trumps foundation eliminated gap parties publicizing investigations backed percent democrats percent republicans conclude republicans ethical honest party.
