author,published,site_url,label,title_without_stopwords,text_without_stopwords
Tokyowashi (Noreply@Blogger.Com),2016-10-31T06:10:04.338+02:00,abeldanger.net,Fake,Comey has a stack of resignation letters from furious FBI agents.,"It's a disgrace what has wrecked the FBI. Even Hoover - and that's saying something - never had this mess when getting Al Capone. Arresting Al Capone was easier than this mess. Trump is stopping the honesty of the FBI, which is an outrage of the highest order. These brave guys and girls deserve better. The FBI hates the crooks who are undermining the whole legal system, according to Sibel Edmonds."
Tokyowashi (Noreply@Blogger.Com),2016-11-01T10:54:31.899+02:00,abeldanger.net,Fake,Prime Minister John Key caught channeling millions in taxpayers' money to ethically compromised Clinton Foundation.,"History of derivatives in Australia shows homosexual power networks that work to charge police. Law enforcement, ultra-secret Chelmsford hospitals, and undercover operations reveal a huge pedophile ring. Cathy O'Brien's story about shaking the Clinton life fits with truth tellers in court action. Agents sound very credible. Trump appeared in Cathy's detailed book with names of everyone in great detail. Trudeau and other scam participants are involved in everything through the foundation. Gillard is now running operations and is suspected of transferring millions. Also involved are communist party members who claimed to be trained by the CIA by mistake."
Tokyowashi (Noreply@Blogger.Com),2016-11-01T10:55:27.725+02:00,abeldanger.net,Fake,Prime Minister John Key caught channeling millions of dollars in taxpayers' money to ethically compromised Clinton Foundation.,"Privatization is moving the CIA into private business, using systems to rip off taxpayers. The CIA apparently has systems to rig elections. Bush, Raytheon, Inslaw software, Intel chips - all have backdoors owned by Israel, according to these sources related to Bush."
Neoholographic,2016-10-27T01:01:00.000+03:00,abovetopsecret.com,Fake,Words about extraordinary claims need to be banished when talking about extraterrestrials.,"UFO sighting in the east valley - couldn't get pictures of the west mesa lights. In the east Queen Creek area, lots of friends were calling about lights happening on the balcony. Were they flares from a plane? Flares from a dispensary? The flares stayed away and remained ignited for a long period. It was kind of nuts - I witnessed the lights myself. ATS edit by PraetorianAZ for this reason."
Praetorianaz,2016-10-26T23:51:00.000+03:00,abovetopsecret.com,Fake,UFO in the east valley,"Bunker world crap - the main thing I'm concerned about is ensuring my employer keeps the loot rolling, lol. The fact is I'm jumping from the truck as a motivational item. I'm coming into stock mine food for weeks in the country, as well as water, a liter propane tank for heat, a door boiler, and a generator hooked to a liter gas storage container. My house is building down the road from my current house with solar panels hooked to a volt system. Every day there's a buck or couple in the yard, lots of partridge and bears. When things get rough, the main thing I'm lacking is vegetables for winter, which is problematic."
Seentoomuch,2016-10-26T21:13:00.000+03:00,abovetopsecret.com,Fake,Nuggets from the Podesta files about fastwalkers and the DSP program.,"Kids vote for president at a school in West Virginia. The kids at the school are talking about voting for school president. They explained the ballot - you check a mark beside the president, address, and signature. The kids were never notified about kids voting. Kids of that age in grade school nominees show Hillary's achievements on paper, while Trump's paper is biased, speaking only of Hillary's accomplishments and barely mentioning Trump's buildings. I actually took a camera phone picture, but it's blurry. Sorry for the blurry document - the kids are going to school and I've never seen anyone else do this. Edit by PMPT for this reason: Originally posted by Apoc. West Virginia kids at school are talking about voting for school president. They explained the ballot - you check a mark beside the president, address, and signature. The kids were never notified about kids voting. Kids of that age in grade school nominees show Hillary's achievements on paper, while Trump's paper is biased, speaking of Hillary's accomplishments and barely mentioning Trump's buildings. I actually took a camera phone picture, but it's blurry. Sorry for the blurry document - the kids are going to school and I've never seen anyone else done this in years. This has been happening in grade school for years. Polling in grade school for presidential elections can be as accurate as scientific polls, since kids tend to vote how their parents vote, supposedly."
Vlawde,2016-10-27T02:54:39.811+03:00,abovetopsecret.com,Fake,EMP event is forthcoming.,"This guy didn't get reelection and thinks he has a mandate to arm the candidate he supports. He doesn't realize he's being reckless, self-serving, self-aggrandizing, illiberal, undemocratic, and moronic - contrary to the rule of law the candidate purports to support. He's ginning up cancerous fantasies among frothy-mouthed sheep who fancy themselves revolutionaries akin to American colonists with muskets. LOL, okay Alex Jones and Joe - you're just assholes blathering about civil war. The leader doesn't realize there's nothing laudable about this. It's unbelievable how carelessly Walsh is yapping, which could result in millions dead in America if Trump isn't president or someone else. Edit by TheAntediluvian for this reason."
Apoc36,2016-10-27T02:54:41.397+03:00,abovetopsecret.com,Fake,Kids vote for president at school.,"Powerful quakes hit Italy within hours of the location of a deadly quake. ATS quake info: The quake had a magnitude that struck the region with an epicenter kilometers away, south-southwest of Visso. It hit near Perugia and Macerata, according to ANSA. A second quake of similar magnitude occurred kilometers (miles) north of Visso, miles from Perugia, according to USGS. The depth and aftershocks were also significant. There are no reports of victims from the downpour, according to Mauro Falcucci, mayor of the town Castelsantangelo sul Nera, state agency ANSA reported. CNN's Barbie Nadeau reported from Rome that the quakes struck with incredible aftershock activity. The earthquake was felt in Testaccio, Rome. Wow - blocked roads to villages, and there are reports of damage and injury. News.com.au reported that the quakes crumbled churches and buildings, knocking out power and sending panicked residents into rain-drenched streets. One person was injured in Visso when rubble from collapsed buildings tumbled into the streets. The civil protection agency initially reported one injured, with no immediate reports of injuries or deaths. Power is out and emergency crews are waiting. The mayor of Castel Santangelo sul Nera, a tiny town north of the hard-hit areas from the previous quake, reported the damage. Edit by Reldra for this reason. Edit by Reldra for this reason. Italian Prime Minister Renzi tweets: 'Thank you to all those working in the rain in the earthquake areas of Italy. Hugs to all those affected.' @matteorenzi Edit by Reldra for this reason. Edit by Reldra for this reason on related topics."
Theantediluvian,2016-10-27T02:54:46.091+03:00,abovetopsecret.com,Fake,Congressman and radio host Joe Walsh recklessly talks about muskets if Trump loses.,"Bill Weld encourages his supporters to vote for Trump. Bill Weld's backwards endorsement of Hillary against the backdrop of addressing an electorate torn by so-called party candidates they cannot enthusiastically support. Speaking about Republicans, the president should exhibit commonly accepted standards of decency and discipline. After careful observation and reflection, I believe that if Donald Trump is elected President of the United States, he will not be able to handle pressure and criticism, becoming unhinged and unable to perform competently in the duties of office. I wonder about the effect on Libertarian Party members who feel unfortunate about being forced to choose Hillary in order to stop Trump. Trump supporters should look in the mirror and realize how repulsive they voted for the lulz, which ensured a Clinton presidency if they didn't support the establishment fleeing from Kali. Check - don't pretend to be libertarian if you're not libertarian. Here's what this supposed libertarian ticket is endorsing: the least libertarian candidates ever, making people fear a bunch of doo-doo feces in this thread. Voting for Trump isn't about standing up to the establishment or supporting Veritas or anything WikiLeaks revealed. The point I'm convinced of is that if Hillary wins this election, women in America will be wearing hijabs during her presidency, and the draft will return for war with Russia and China. Trump isn't a politician, and the point is that I don't think that's what a president should be. That doesn't mean he hasn't been involved in politics his whole life, but as president, the values of America are instilled in his heart. America's mentality is that Hillary wants to increase Muslim refugees - the ones murdering and raping women in Europe. The ones who aren't Islamic, whatever. Hillary wants amnesty and open borders. That's great - lots of Colombian drug lords will be sending people across the border into our country. That's her fancy tax plans for college and jobs that Trump makes."
Reldra,2016-10-27T02:54:48.091+03:00,abovetopsecret.com,Fake,Powerful quakes hit Italy within hours.,"For years I've been into UFOs, believing mostly in nothing anymore because most of the stuff is faked, at least the exciting CGI. The reason I'm posting this is because of something that happened this summer during a camping trip to Possum Kingdom Lake in West Texas. Robert, on this trip, was a single guy I married following our trip. We went canoeing, swimming, cliff diving, and snorkeling, camping beneath the stars in a tent, star gazing, and eventually drifted off to sleep nightly. Robert and his friends were also together on that chilly, moonless night, tucked in our sleeping bags in a spot elevated from distractions, giving us excellent vision of the sky. We had partook of herb and drank beer daily, consuming 3-4 beers daily until nightfall, when we were tuckered out and ready for nothing but sleep from the heat. West Texas campsite was accessed by boat rental where we canoed and paddled to a rugged, rocky peninsula with cliffs about 200 feet taller than where we camped by the cliffs over the water. Looking for the perfect spot and looking through binoculars, I pointed them up and finally focused the binoculars on what I was following - a slightly larger than satellite, transparent or semi-transparent, faint bluish looking sphere or bubble moving at a speed slightly faster than a satellite, going faster and slower than plane/jet traffic. I estimated it was going south, passing the binoculars back and forth. I assumed it was a satellite - not exciting stuff, I can't help but notice. Coming from the east on course, it was close in altitude, getting close enough for comfort. At least from the east, it shot a bluish beam southbound. It wasn't laser-like - I don't know how to describe it. It was V-shaped like a beam from a flashlight that shot and lasted maybe a second. It was a positive flash from the southbound object, going westward in the direction east of us, making a turn going in our direction. It flashed - I didn't think much about the 90-degree turn going from its path west-southwest about 30 degrees. I'm guessing it abruptly turned without anything like a plane would. It struck me as odd - no curving involved, just dim in the distance, staying in a straight line to its intended destination. Of course, I was thinking it flashed that beam, but nope, it changed speed and directions. The rest I'm not accurate about, but it was sharp and unheard of for years. Though I wasn't talked about this in tabloids for years, I am 100% honest - I didn't expect to finally get to sleep. I don't know what time it was - maybe 2-3 AM when Robert woke me up because of footsteps. I don't know what could have caused us to get up. I guess, heheh, I listened to branches, gravel, and rocks moving beneath whatever it was. Well, I finally went to sleep. I'll admit, yeah, we did partake, but it wasn't a vacation where I was paranoid. I guess our bread and peanut butter went missing - the bread's plastic wrapper and the bread itself were gone, which was creepy. Years later, my boss told me a fun thing about peanut butter and bread going missing when we camped by the river. I was determined it was a raccoon or something regular like that. Days later on the forum with spectacular claims daily, my older brother told me about years of camping in a tent underneath the starry sky at Caddo Lake in East Texas in the spring, looking at a patch of sky surrounded by silhouetted trees, talking about kids looking for flying saucers. That's the entire sky in our backyard thing from the fifties heyday where we stared at the sky from a pickup. He mentioned the bluish sphere years later at Possum Kingdom Lake - the entire time I wasn't talkative, maybe 10 minutes, mentioning the binoculars. I was amazed, I mean, it was nothing, though it quietly slid across the sky and disappeared behind trees. My brother was never a believer who landed to change his mind about regular satellites afterwards. Coming to this lurking thread, the guy saw the exact same thing - a slightly V-shaped flashlight-looking beam from a blue sphere turning away. I'm feeling like Robert witnessed the sphere I denied. He hardly talked about anything else the trip, assuming a bunch of guys were taking pictures. I didn't mean any harm telling Robert that Robert was crazy - I didn't think much about the thing. If I was kidding, you'd think he'd have said he wasn't wanting anyone to know. Edit by Recrisp for this reason."
