author,published,site_url,label,title_without_stopwords,text_without_stopwords
Activistpost,2016-11-03T18:15:58.346+02:00,activistpost.com,Fake,Programmed hate,Ulson gunnar despite United States engaged calls reconstruction afghanistan quarterly reports progress reveals expanding.
Activist Post,2016-11-03T19:17:10.165+02:00,activistpost.com,Fake,War afghanistan silently slips abyss.,Catherine frompovich continuation testimony present pennsylvania public utility commissions administrative law court chairman godshall allowing opt bills sine die session impeachable offense denying consumers inherent indefeasible redress government also pennsylvania constitution contend nothing encapsulates explains emfrfr controversy conundrum scientific viewpoint europaem emf guideline prevention diagnosis treatment emfrelated health problems illnesses spanish language document online cites published scientific references leaves frompovich question pucand peco particularare daft proffering science era safety thermal science microwave electromagnetic energies ancient radar studies microwave industry always trots proof safety safety studies originated germany world war outmoded present federal communications commissions rules safety cell phones ami smart meters microwave technology science applied gold standard scientific criterion meters key intelligence gathering technology things frompovich question credibility factor peco puc depending science todays technology world wheres science please studies peco supplied puc frompovich respectfully suggests puc study aboveaforementioned european reports medical ehs health professionals qualified explain diagnostics varied modalities discussed order issue regulations affecting ami smart meters continuous rfremf healthdamaging electromagnetics plus proclivities occurrences case decades utilities efficient analog meters vulnerable emf radiation introduce exhibit absorb microwave radiation adults consequences exhibit American academy pediatrics letter urging food drug administration commissioner federal communications commission others advise public specific absorption rates sars emfrf exposures also apprise fact electromagnetic sensitivity ehs growing problem statistics peer journal ecopsychology professor pamela reed gibson states following USA population swedish population danish population german population ehs compromised exhibit.
Activist Post,2016-11-03T20:33:06.135+02:00,activistpost.com,Fake,Smart meter case testimony pennsylvania public utility commission wants acknowledge emf damage.,Claire bernish disinformation misinformation propaganda outright lies purposeful distractions misleading bias tools government close ally corporate.
Activist Post,2016-11-04T02:47:08.638+02:00,activistpost.com,Fake,Colorado cannabis industry contributes economy industries.,Amanda froelich evident youre following standing rock protests north dakota tension continues escalate.
Activist Post,2016-11-04T16:52:06.225+02:00,activistpost.com,Fake,Info heres fact check.,Catherine frompovich continuation testimony present pennsylvania public utility commissions administrative law court.
Activist Post,2016-11-04T17:36:57.750+02:00,activistpost.com,Fake,Wikileaks revelations federal emperor wearing clothes.,Brandon turbeville floodwaters receded nichols south carolina surrounding areas residents emotional journey assess.
Activist Post,2016-11-04T19:15:47.388+02:00,activistpost.com,Fake,Cops threaten arrest students dont handing constitutions.,Tony cartalucci reality since syrias conflict began unfolding United States planning nations division.
Activistpost,2016-11-04T19:56:01.728+02:00,activistpost.com,Fake,Elections chaos youre.,Shane trejo dakota access pipeline protests national millions Americans concerned potential property violations environmental.
Activist Post,2016-11-05T16:35:21.682+02:00,activistpost.com,Fake,Drone restrictions peaceful protesters combat injustice.,Catherine frompovich continuation testimony present pennsylvania public utility commissions administrative law court.
Activist Post,2016-11-05T16:50:46.736+02:00,activistpost.com,Fake,Mass checkin standing rock online advocacy.,Whitney webb course years presidential election nothing bizarre repeatedly speculated election opportunely timed terrorist attack event occurred moment leading suspension election theories credence.
Activist Post,2016-11-05T17:30:36.699+02:00,activistpost.com,Fake,Smart meter case testimony pennsylvania public utility commission wants acknowledge emf damage.,Joseph jankowski organization aim separate state california union United States hold meeting state capitol sacramento presidential election california independence campaign san diego describes nonviolent campaign establish country california using legal constitutional means trying qualify citizens initiative referendum secession ballot reports gate sacramento hopes gather states exit calexit United States America represents things conflict californian values statehood means california subsidizing states detriment detriment reads california official groups reads although charity culture californias infrastructure falling apart public schools ranked among entire country highest homeless persons living shelter basic necessities poverty rates income inequality continues expand often borrow money future services charity independence referendum california subsidizing states country selfdetermination concept voluntary association supported constitutional international law california taking world standing equal among nations believe fundamental truths california exerts positive influence rest world california independent country able state california lays points covering topics believes benefit california exit education peace security debt taxes immigration draws parallels calexit referendum brexit passed british country push secession nothing california mayor port orford oregon gilbert gable proposed idea push oregon counties curry josephine jackson klamath join california counties del norte siskiyou modoc state named jefferson modoc county northern california voted join neighboring siskiyou county push secede state california counties northern california petitioned state America also jefferson joseph jankowski contributor works published recognizable alternative sites globalresearchca leak.
Activist Post,2016-11-06T15:15:19.742+02:00,activistpost.com,Fake,Assassinate Donald Trump austyn crites shows wikileaks times.,Jon rappoport leaked memo attorney kumiki gibson Clinton foundation chairman bruce lindsay gibson hired independent assessment foundations practices key quotes gibsons findings mind Clinton foundations existence depends legally certified nonprofit entity compliance laws governing nonprofits laws nonprofit status revoked whole operation drain gibson responsibilities corporate filings delegated foundation cfo appears delegate organization oversight legal department result foundation compliance filings rules york requires foundation certified business state apparently Clinton foundation legally registered nonprofit york gibson matter leadership decides larger overarching question act immediately foundation compliance law standards govern notforprofits legal offices prevent lapses future gibson foundation record retention procedures utilized harlem headquarters violate law zero hedge writes troubling gibson pointed highranking unnamed foundation executive president Clinton government foundation allowed foundation host viewed political event apparently official preapproval foundations legal department regard fact impact decision foundations tax exempt status memo investigation york state dept justice nail particulars sink Clinton foundation didnt dept justice anything clintons protected evidence foundation corruption spreading wildfire fires contain jons megacollection power matrix author explosive collections matrix exit matrix power matrix jon candidate congressional seat district california maintains consulting practice private clients purpose expansion personal creative power nominated pulitzer prize investigative reporter years writing articles politics medicine health cbs healthwatch weekly spin magazine stern newspapers magazines europe jon delivered lectures seminars global politics health logic creative power audiences world sign emails.
Activistpost,2016-11-06T21:05:30.789+02:00,activistpost.com,Fake,Empire files abby martin exposes john podesta.,Kurt nimmo blacklisted elected Hillary Clinton heat brinkmanship Russia democrats insist Russia behind.
Activist Post,2016-11-07T17:55:36.561+02:00,activistpost.com,Fake,Dnc hack war flag.,Claire bernish surprise anyone paying marginal attention fbis clearing Hillary Clinton wrongdoing briefly reopened investigation.
Activist Post,2016-11-07T23:05:53.804+02:00,activistpost.com,Fake,Police caught spying journalists uncover.,Kurt nimmo nypd deputy commissioner intelligence counterterrorism john miller threat terrorism constant following.
Activist Post,2016-11-07T23:50:53.204+02:00,activistpost.com,Fake,Weeks obamas executive order catastrophic space weather events coronal mass ejection hit election.,Chris duane chris duane explains hes voting destroys leftright paradigm surrounding presidential selection vote.
Activist Post,2016-11-08T01:20:32.516+02:00,activistpost.com,Fake,Police state elections.,Jon rappoport bouncing ball turns money bundlers Hillary clintonfredrick schaufeld karen schaufeld sonjia smith michael bills.
